feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
spectral_bandwidth_p2_max,Mann-Whitney U,3625.0,3.8435217618629756e-12,2069.00707961689,2203.2043226637265,149.2782764765477,110.84867853823351
delta_mfcc_5_std,t-test,-7.23366302412406,8.344825431557338e-12,3.411936348940092,4.024390303699744,0.7267036961409974,0.5695285118190156
rms_energy_median,Mann-Whitney U,11164.0,2.3771033385024242e-11,0.010744949704324266,0.007262145763358778,0.004674887371980625,0.0030639180086249086
rms_energy_mean,Mann-Whitney U,11144.0,3.04018750989245e-11,0.012873226142902823,0.008818873167938932,0.005603160524535763,0.003691475387025569
delta2_mfcc_2_median,Mann-Whitney U,11092.0,5.7294679878925984e-11,-0.0737006926870054,-0.15112913729007635,0.06896143119330517,0.1068451572926383
spectral_entropy_median,Mann-Whitney U,3895.0,1.0833150232372753e-10,5.147752228541736,5.296735556056175,0.21500990521398095,0.14255794356267215
delta_mfcc_6_std,t-test,-6.739082797690555,1.2768029540128407e-10,3.222421729393589,3.7391552609448473,0.6248951283994816,0.561318903146393
spectral_bandwidth_p2_std,Mann-Whitney U,3912.0,1.326362247207429e-10,298.6593541676073,340.0215394497707,51.021762751318406,33.92914625146907
spectral_flux_median,Mann-Whitney U,11007.0,1.5845074146553832e-10,9.310328553684327,6.3972052276948705,3.9944656767814415,2.815557433499376
delta2_mfcc_10_mean,t-test,6.6337437626884075,2.1143990124941895e-10,0.0013272001579443143,-0.0020673855267175573,0.0036242617660619627,0.004350793584466682
delta2_mfcc_4_mean,Mann-Whitney U,10956.0,2.8850113236201057e-10,-0.0018147686317205596,-0.009772725526717558,0.007640352303181144,0.011750738646604218
spectral_flux_mean,Mann-Whitney U,10949.0,3.1303065617232666e-10,10.648980389686933,7.359331432268698,4.750497759723121,3.291149517016015
delta_mfcc_7_std,t-test,-6.5904249354202005,3.486195361637335e-10,2.8647089214552386,3.308301817331379,0.5829442649553312,0.4449852310880708
delta_mfcc_3_mean,t-test,6.482027939471435,5.077854793552986e-10,0.0011559861925496855,-0.014904671320610689,0.01889115446010739,0.019685483688550023
mfcc_4_max,Mann-Whitney U,4033.0,5.454672083585759e-10,122.28317494972177,134.07191321664556,14.375612032631487,12.27150402504827
intensity_db_median,t-test,6.400743840633389,9.041966723938735e-10,57.171335427621166,54.04935999459008,4.071075301895719,3.4438673824773374
formant_f1_std,t-test,-6.4520134322629605,9.357113521906748e-10,369.32127277553275,439.7610138687225,100.04524569373729,63.087608351250495
lpc_10,Mann-Whitney U,10852.0,9.542893011020728e-10,1.2206925710483645,0.7100032375685249,12.128677587879851,4.194691009086904
pitch_range,Mann-Whitney U,4127.0,1.5842773259864034e-09,316.3024125293844,381.76887467832967,92.02816065710753,84.28580147132196
delta_mfcc_11_std,t-test,-6.296798845242856,1.6883317383482802e-09,1.7356785449467786,1.9814840339324509,0.3333892956468725,0.2650117430830052
mfcc_3_max,Mann-Whitney U,4193.0,3.2934201178250275e-09,40.038852676391734,53.916346979586116,18.690245243960398,11.328630663921937
formant_f2_max,t-test,-6.162807396846535,3.7171810207359403e-09,3561.6072131707697,3728.7113309433944,237.3792396708453,175.36357691035167
mfcc_12_mean,Mann-Whitney U,4213.0,4.0998197011000194e-09,-9.26510306052688,-3.521372923919829,8.406459395425596,5.56792238040212
pitch_hz_max,Mann-Whitney U,4225.0,4.672719609210109e-09,392.1573019929108,457.78892133485374,92.32903088912656,83.54100847887446
mfcc_5_std,t-test,-6.096742705694258,5.0592082765421995e-09,18.600085796743613,21.28327734052626,3.790484407856569,2.941161171198788
mfcc_6_std,t-test,-6.0196208606350705,6.6022278940153996e-09,16.609124563977392,18.843712883895932,2.9122230930855286,2.856109080549201
zcr_median,Mann-Whitney U,4279.0,8.33200445484064e-09,0.06703587597368421,0.07688938767175574,0.018866122964856246,0.009753258971022671
mfcc_12_median,Mann-Whitney U,4282.0,8.643188179414938e-09,-9.104639913169324,-3.727194172267275,8.251496263002554,5.238276591098196
delta_mfcc_5_mean,Mann-Whitney U,10614.0,1.2949372232140133e-08,0.0009531774168124786,-0.008752517645595204,0.012599332440048065,0.014982390400381655
tonnetz_1_mean,Mann-Whitney U,4330.0,1.4391996689951357e-08,-0.013614870390574853,0.009184586013935736,0.06051440250781773,0.019367185577038332
delta_mfcc_5_max,t-test,-5.779877376155967,2.406819369709046e-08,11.443130208741897,13.357701570948674,2.678419030160433,2.4517477553853744
tonnetz_1_median,Mann-Whitney U,4380.0,2.428910853275673e-08,-0.01585733270053321,0.007330383572519084,0.06261882232448873,0.01864485826082864
spectral_flatness_std,Mann-Whitney U,4409.0,3.2783787333521975e-08,0.00361672873021634,0.00030451428565594376,0.011566584271119175,0.001891335426930301
spectral_rolloff_median,t-test,-5.757468474211204,3.3041201326861914e-08,2123.4237938596493,2379.562261450382,400.42521288956266,269.8735815015772
mfcc_11_std,t-test,-5.715980713918261,3.4739601798484943e-08,9.507835463276098,10.687442204367082,1.7190907117393375,1.4617255833924812
delta2_mfcc_12_std,t-test,-5.706911375259401,3.852610307985498e-08,1.03211096304416,1.154491171416151,0.18480328429293813,0.1431462094419848
delta_mfcc_5_min,Mann-Whitney U,10497.0,4.3683218983700176e-08,-12.047843017596492,-14.134883705847328,2.5605849330295074,2.7065867995774955
delta2_mfcc_3_median,t-test,-5.648370901733916,4.586132371962479e-08,-0.10606427478377162,-0.050362314699627236,0.07634451501338987,0.07705392178029515
delta2_mfcc_5_mean,Mann-Whitney U,4453.0,5.141158595928478e-08,-0.0003092766537654438,0.004671379946564885,0.0066442881784348476,0.0067378508593422684
mfcc_3_mean,t-test,-5.588392715948198,7.440647000032723e-08,-16.677576099946517,-7.654263958718841,14.326153230474402,10.139430993945936
delta2_mfcc_11_std,t-test,-5.578525225850561,7.751416752323009e-08,1.0841592251246999,1.2137247394265331,0.20532185681121212,0.14706264249402629
delta_mfcc_3_median,Mann-Whitney U,10437.0,8.012984717674643e-08,0.08105708945484799,-0.013497544251038473,0.14306413968369194,0.10417613034674796
delta2_mfcc_5_std,t-test,-5.562474743118618,8.636045598467688e-08,2.0214243371837775,2.281295649281277,0.418129243786114,0.287416010610328
delta_mfcc_10_min,Mann-Whitney U,10412.0,1.0282856197593327e-07,-6.446070491201755,-7.270560632259542,1.4059395982845764,1.051898861363736
delta2_mfcc_10_min,Mann-Whitney U,10410.0,1.0489194535094296e-07,-4.224172809701754,-4.758226300022901,0.8811905415075646,0.695061535065792
intonation_slope_std,Mann-Whitney U,10368.0,1.5873264775080316e-07,282.7812249023077,209.62114680929804,118.07664861968676,127.81030915627288
spectral_kurtosis,Mann-Whitney U,10348.0,1.9297069374264856e-07,2.4541580088084998,1.6047975994023913,1.4347153594174493,1.2519674303745376
spectral_flux_std,Mann-Whitney U,10344.0,2.0062745354380245e-07,8.10216818354384,5.798821159039925,4.108243785609188,2.9797443926301
mfcc_10_std,Mann-Whitney U,4607.0,2.3657327627063664e-07,10.392934995719036,11.589979003814921,2.176648636704535,1.4037986441904837
delta2_mfcc_10_max,Mann-Whitney U,4608.0,2.388711080901278e-07,4.376102401486352,4.980280073547723,0.9308177605913438,0.8534200215022522
formant_f1_max,Mann-Whitney U,4617.0,2.605452895697315e-07,2439.7073514204912,2580.456829528224,204.45640801417755,171.78702867320996
formant_f3_std,t-test,-5.323401549376195,2.701441058388402e-07,428.5947740122997,476.22323710787003,79.03318385915773,56.74853261685582
voice_break_degree,Mann-Whitney U,4634.0,3.0677871618785767e-07,39.54281578947368,46.42726717557252,10.768861000031354,9.164836625876038
mfcc_7_min,t-test,5.277952201947587,3.1256510711855156e-07,-69.09091567929825,-78.51462732610686,15.018848468528528,12.447269186483895
spectral_crest,Mann-Whitney U,10293.0,3.280383437584682e-07,27.046546040918546,20.523717516338376,11.73130276844602,5.9623885925734585
